year,drought.occurrence,extreme.temperature.occurrence,flood.occurrence,landslide.occurrence,storm.occurrence,wildfire.occurrence
1960,0,0,0,1,0,0
1961,0,0,0,2,1,0
1962,0,0,1,0,1,0
1963,0,1,0,1,0,0
1964,0,0,1,0,0,0
1965,0,0,2,2,1,0
1966,0,0,1,1,1,1
1967,0,0,1,0,2,0
1968,0,0,1,1,2,0
1969,0,0,0,0,1,0
1970,0,0,3,3,1,0
1971,0,1,1,0,1,0
1972,0,0,1,0,4,0
1973,0,0,1,0,5,0
1974,0,0,0,3,1,0
1975,0,0,1,3,0,0
1976,1,0,0,0,9,0
1977,0,0,8,1,0,0
1978,0,0,3,0,1,0
1979,0,1,5,0,0,0
1980,1,0,3,0,1,0
1981,1,1,4,0,6,0
1982,1,1,6,4,4,1
1983,3,0,12,4,9,7
1984,0,0,4,1,17,5
1985,0,6,5,2,7,6
1986,1,0,2,0,5,2
1987,0,1,9,3,9,2
1988,0,2,4,1,0,0
1989,2,0,2,2,5,0
1990,3,1,4,2,66,2
1991,1,4,5,0,5,2
1992,3,0,8,1,4,2
1993,2,2,14,2,13,0
1994,0,2,18,0,12,3
1995,0,4,7,3,10,1
1996,0,1,14,3,5,1
1997,3,5,17,1,7,4
1998,1,6,13,2,11,3
1999,1,4,17,6,22,4
2000,4,12,33,5,15,13
2001,0,10,25,0,8,4
2002,1,3,38,3,22,3
2003,4,16,15,0,7,5
2004,1,5,14,0,13,3
2005,0,21,39,1,26,3
2006,1,17,30,1,9,1
2007,1,12,19,0,22,10
2008,0,3,9,0,13,0
2009,0,17,15,0,9,5
2010,1,19,32,0,14,2
2011,0,2,9,1,5,0
2012,4,39,15,0,1,2
2013,0,3,16,0,23,1
2014,0,6,28,0,15,0
2015,0,3,20,0,5,1
2016,0,2,19,0,2,1
2017,1,6,8,0,14,7
2018,2,15,13,0,13,5
2019,0,13,13,0,20,1
