"year","drought.occurrence","flood.occurrence","storm.occurrence","wildfire.occurrence"
1906,0,2,0,0
1920,0,1,0,0
1925,0,1,0,0
1926,0,3,0,0
1928,0,1,2,0
1929,0,0,1,0
1930,0,1,2,0
1939,0,1,0,0
1946,0,0,1,0
1948,0,0,1,0
1949,0,0,0,1
1951,0,2,0,0
1952,0,1,0,0
1953,0,4,1,0
1956,0,1,0,0
1957,0,1,1,0
1958,0,1,0,0
1961,0,0,1,0
1962,0,1,1,0
1965,0,1,1,0
1966,0,1,1,1
1967,0,1,2,0
1968,0,1,2,0
1969,0,0,1,0
1970,0,3,1,0
1971,0,1,1,0
1972,0,1,4,0
1973,0,1,5,0
1974,0,0,1,0
1975,0,1,0,0
1976,1,0,9,0
1977,0,8,0,0
1978,0,3,1,0
1979,0,4,0,0
1980,1,3,1,0
1981,1,2,4,0
1982,1,4,4,1
1983,3,10,8,6
1984,0,2,15,5
1985,0,3,7,5
1986,1,1,5,2
1987,0,7,8,1
1988,0,3,0,0
1989,2,1,5,0
1990,2,0,66,2
1991,1,2,3,2
1992,3,7,4,2
1993,2,14,13,0
1994,0,18,12,3
1995,0,7,10,1
1996,0,14,5,1
1997,3,17,7,4
1998,1,13,11,3
1999,1,15,22,4
2000,4,31,15,12
2001,0,25,8,4
2002,1,37,22,3
2003,4,15,7,5
2004,1,14,13,3
2005,0,38,25,3
2006,1,28,9,1
2007,1,19,22,10
2008,0,9,13,0
2009,0,15,9,5
2010,1,32,14,2
2011,0,9,5,0
2012,4,15,1,2
2013,0,16,23,1
2014,0,28,15,0
2015,0,20,5,1
2016,0,19,2,1
2017,1,8,14,7
2018,2,13,13,5
2019,0,0,3,0
