"country.name","country.code","year","ghg.emissions.indexed","ghg.emissions.per.capita.tonnes","agriculture.ghg.emissions.mio.tonnes","energy.ghg.emissions.mio.tonnes","industry.ghg.emissions.mio.tonnes","total.ghg.emissions.mio.tonnes","transport.ghg.emissions.mio.tonnes","waste.ghg.emissions.mio.tonnes","other.ghg.emissions.mio.tonnes","agriculture.ghg.emissions.national.share","energy.ghg.emissions.national.share","industry.ghg.emissions.national.share","transport.ghg.emissions.national.share","waste.ghg.emissions.national.share","other.ghg.emissions.national.share","agriculture.ghg.emissions.EU28.share","energy.ghg.emissions.EU28.share","industry.ghg.emissions.EU28.share","total.ghg.emissions.EU28.share","transport.ghg.emissions.EU28.share","waste.ghg.emissions.EU28.share","other.ghg.emissions.EU28.share"
"Austria","AT","1990","100","10.4","8.1","14.1","13.7","78.7","14","3.9","24.9","0.1034","0.1792","0.1737","0.1776","0.0499","0.3161","0.015","0.0084","0.0264","0.0139","0.0176","0.0163","0.1034"
"Austria","AT","1991","104.9","10.8","8","14.9","13.7","82.3","15.5","4","26.3","0.0977","0.1806","0.1663","0.1877","0.0485","0.3192","0.0157","0.0091","0.0284","0.0148","0.0193","0.0164","0.1077"
"Austria","AT","1992","96.6","9.8","7.7","11.6","12.1","75.8","15.4","3.9","25","0.102","0.1536","0.1591","0.2036","0.0521","0.3295","0.0158","0.0073","0.026","0.0141","0.0187","0.016","0.1014"
"Austria","AT","1993","96.8","9.7","7.7","11.7","12","75.9","15.6","3.9","25.1","0.1016","0.1538","0.1581","0.2049","0.0516","0.33","0.0162","0.0077","0.0264","0.0144","0.0188","0.0159","0.1014"
"Austria","AT","1994","97.5","9.8","7.7","12","12.7","76.2","15.6","3.8","24.4","0.1011","0.157","0.1672","0.2048","0.0502","0.3198","0.0163","0.0079","0.0264","0.0145","0.0187","0.0155","0.0988"
"Austria","AT","1995","101.9","10.2","7.8","13.2","13.6","79.6","15.9","3.7","25.5","0.0984","0.1653","0.171","0.1996","0.0459","0.3199","0.0166","0.0086","0.0273","0.015","0.0187","0.0148","0.1029"
"Austria","AT","1996","106.1","10.6","7.7","14.1","13.1","82.9","17.4","3.5","27.1","0.0931","0.1705","0.1576","0.2104","0.0418","0.3266","0.0163","0.0091","0.0261","0.0153","0.02","0.014","0.1097"
"Austria","AT","1997","105.6","10.5","7.7","14.1","14.2","82.4","16.5","3.3","26.6","0.0931","0.1716","0.1726","0.1996","0.0402","0.3229","0.0163","0.0094","0.0281","0.0155","0.0186","0.0136","0.1092"
"Austria","AT","1998","104.7","10.4","7.6","13.2","13.9","81.7","18.6","3.2","25.3","0.0935","0.1612","0.1697","0.2272","0.0391","0.3093","0.0163","0.0086","0.0287","0.0155","0.0203","0.0133","0.1052"
"Austria","AT","1999","102.6","10.2","7.5","12.7","13.6","80.1","18","3.1","25.1","0.0941","0.1587","0.1704","0.225","0.0384","0.3135","0.0161","0.0086","0.0308","0.0155","0.0193","0.0131","0.107"
"Austria","AT","2000","103.2","10.3","7.4","12.4","14.6","80.4","18.8","3","24.2","0.0925","0.1542","0.1817","0.234","0.0368","0.3008","0.0161","0.0082","0.0321","0.0156","0.0203","0.0128","0.1045"
"Austria","AT","2001","108.3","10.7","7.4","13.7","14.5","84.3","20.3","2.9","25.5","0.0875","0.1631","0.1718","0.2408","0.034","0.3028","0.0162","0.0089","0.0329","0.0161","0.0216","0.0126","0.1123"
