country.code,country.name,year,agriculture.ghg.emissions.mio.tonnes,energy.ghg.emissions.mio.tonnes,industry.ghg.emissions.mio.tonnes,total.ghg.emissions.mio.tonnes,transport.ghg.emissions.mio.tonnes,waste.ghg.emissions.mio.tonnes
AT,Austria,1990,8.1,38.9,13.7,78.7,14,3.9
AT,Austria,1991,8,41.1,13.7,82.3,15.5,4
AT,Austria,1992,7.7,36.6,12.1,75.8,15.4,3.9
AT,Austria,1993,7.7,36.699999999999996,12,75.9,15.6,3.9
AT,Austria,1994,7.7,36.3,12.7,76.2,15.6,3.8
AT,Austria,1995,7.8,38.6,13.6,79.6,15.9,3.7
AT,Austria,1996,7.7,41.2,13.1,82.9,17.4,3.5
AT,Austria,1997,7.7,40.7,14.2,82.4,16.5,3.3
AT,Austria,1998,7.6,38.4,13.9,81.7,18.6,3.2
AT,Austria,1999,7.5,37.8,13.6,80.1,18,3.1
AT,Austria,2000,7.4,36.599999999999994,14.6,80.4,18.8,3
AT,Austria,2001,7.4,39.3,14.5,84.3,20.3,2.9
AT,Austria,2002,7.3,38.599999999999994,15.1,86.1,22.2,2.9
AT,Austria,2003,7.1,42.4,15.3,91.8,24.1,2.9
AT,Austria,2004,7.1,41.9,14.8,91.4,24.6,2.9
AT,Austria,2005,7,42.199999999999996,15.6,92.6,24.9,2.8
AT,Austria,2006,7,40.5,16.3,90.1,23.7,2.7
AT,Austria,2007,7.1,37,16.9,87.5,23.9,2.5
AT,Austria,2008,7.2,37.5,17.2,86.8,22.4,2.4
AT,Austria,2009,7.2,35.099999999999994,13.9,80.3,21.8,2.3
AT,Austria,2010,7.1,37,15.9,84.8,22.6,2.2
AT,Austria,2011,7.2,35.4,16,82.5,21.9,2
AT,Austria,2012,7.1,33.5,15.6,79.8,21.7,1.9
AT,Austria,2013,7.1,32.6,15.9,80.4,22.9,1.8
AT,Austria,2014,7.2,29.500000000000004,16,76.7,22.2,1.7
AT,Austria,2015,7.2,30.7,16.6,78.9,22.7,1.6
AT,Austria,2016,7.4,30.799999999999997,16.4,79.6,23.5,1.6
AT,Austria,2017,7.3,31.999999999999996,17.2,82.3,24.3,1.5
AT,Austria,2018,7.4,31,15.6,79.8,24.4,1.4
AT,Austria,2019,7.4,30.799999999999997,16.1,80.4,24.6,1.4
AT,Austria,2020,7.5,30.4,16,79.7,24.5,1.3
AT,Austria,2021,7.5,29.199999999999996,15.6,78.2,24.6,1.2
AT,Austria,2022,7.5,28.9,15.6,77.9,24.6,1.2
AT,Austria,2023,7.5,28.8,15.6,77.8,24.7,1.1
AT,Austria,2024,7.5,28.900000000000002,15.3,77.6,24.7,1.1
AT,Austria,2025,7.5,28.4,15.1,76.6,24.5,1.1
AT,Austria,2026,7.6,27.700000000000003,15.1,75.9,24.5,1
AT,Austria,2027,7.6,27.700000000000003,15,75.7,24.4,1
AT,Austria,2028,7.6,27.400000000000002,14.9,75,24.2,1
AT,Austria,2029,7.6,27.299999999999997,14.7,74.5,24,0.9
AT,Austria,2030,7.6,27.099999999999998,14.7,74,23.7,0.9
AT,Austria,2031,7.6,26.9,14.6,73.5,23.5,0.9
AT,Austria,2032,7.7,26.6,14.6,73.1,23.4,0.9
AT,Austria,2033,7.7,26.400000000000002,14.6,72.7,23.2,0.9
AT,Austria,2034,7.7,26.4,14.5,72.5,23,0.8
AT,Austria,2035,7.7,26.300000000000004,14.5,72.3,22.9,0.8
AT,Austria,2036,7.7,26.099999999999998,14.5,71.9,22.7,0.8
AT,Austria,2037,7.8,26.299999999999997,14.5,71.9,22.5,0.8
AT,Austria,2038,7.8,26.2,14.5,71.6,22.3,0.8
AT,Austria,2039,7.8,26.000000000000004,14.5,71.2,22.2,0.8
AT,Austria,2040,7.8,25.9,14.5,71,22,0.8
BE,Belgium,1990,12.2,82.80000000000001,26.3,146.6,20.9,4.3
BE,Belgium,1991,12.1,86.30000000000001,25.3,149.3,21.1,4.5
BE,Belgium,1992,12.1,83.9,26.4,148.9,21.9,4.6
BE,Belgium,1993,12.2,83.30000000000001,25.6,147.9,22.4,4.4
BE,Belgium,1994,12.1,84.5,28.5,152.5,22.9,4.5
BE,Belgium,1995,12.3,84.80000000000001,30.2,154.7,22.9,4.5
BE,Belgium,1996,12.2,88.6,29.7,158.3,23.4,4.4
BE,Belgium,1997,12.2,82.7,26.9,149.8,23.5,4.5
BE,Belgium,1998,12,86.3,28.1,155,24.2,4.3
BE,Belgium,1999,12.2,80.7,27.2,148.6,24.5,4.1
BE,Belgium,2000,11.3,81.1,28.4,149.7,24.9,3.9
BE,Belgium,2001,11.1,81.1,27,148.1,25.4,3.5
