country.code,country.name,year,total.ghg.emissions.mio.tonnes,ghg.emissions.per.capita.tonnes,total.ghg.emissions.EU.share,total.ghg.emissions.EU.rank
EU,EU,2019,4160,8.1,100,0
DE,Germany,2019,853.3,10.3,20.5,1
FR,France,2019,460.7,6.9,11.1,2
GB,United Kingdom,2019,424.8,6.4,10.2,3
IT,Italy,2019,422.3,7,10.2,4
PL,Poland,2019,396.3,10.3,9.5,5
ES,Spain,2019,332.1,7.1,8,6
NL,Netherlands,2019,174.8,10,4.2,7
CZ,Czech Republic,2019,127.1,11.9,3.1,8
RO,Romania,2019,117.8,6.1,2.8,9
BE,Belgium,2019,114,9.9,2.7,10
GR,Greece,2019,89.9,8.4,2.2,11
AT,Austria,2019,80.4,9,1.9,12
BG,Bulgaria,2019,69.2,9.9,1.7,13
PT,Portugal,2019,64.4,6.3,1.5,14
HU,Hungary,2019,63.9,6.5,1.5,15
IE,Ireland,2019,62,12.7,1.5,16
FI,Finland,2019,53.8,9.8,1.3,17
NO,Norway,2019,51.5,9.7,1.2,18
SE,Sweden,2019,50.7,4.9,1.2,19
CH,Switzerland,2019,46.4,5.4,1.1,20
DK,Denmark,2019,45.1,7.8,1.1,21
SK,Slovakia,2019,42.6,7.7,1,22
HR,Croatia,2019,23.7,5.8,0.6,23
LT,Lithuania,2019,20.2,7.2,0.5,24
EE,Estonia,2019,20,15.4,0.5,25
SI,Slovenia,2019,17.9,8.5,0.4,26
LV,Latvia,2019,11.6,6.1,0.3,27
LU,Luxembourg,2019,10.2,17,0.2,28
CY,Cyprus,2019,9.1,10.1,0.2,29
IS,Iceland,2019,5,12.5,0.1,30
MT,Malta,2019,2.4,4.8,0.1,31
