year,temperature.deviation.degree.celcius
1850,-0.23
1851,0.13
1852,0.45
1853,-0.19
1854,0.1
1855,-0.72
1856,-0.16
1857,0.36
1858,-0.05
1859,0.62
1860,-0.37
1861,0.26
1862,0.09
1863,0.93
1864,-0.6
1865,0.18
1866,0.41000000000000003
1867,-0.23
1868,0.73
1869,0.26
1870,-0.24000000000000002
1871,-0.58
1872,0.81
1873,0.46
1874,0.13
1875,-0.41000000000000003
1876,0.05
1877,-0.07
1878,0.44
1879,-0.41000000000000003
1880,0.18
1881,-0.37
1882,0.41000000000000003
1883,0.13
1884,0.25
1885,-0.16
1886,-0.03
1887,-0.17
1888,-0.64
1889,0
1890,0.11
1891,-0.02
1892,-0.17
1893,-0.05
1894,0.32999999999999996
1895,0.06
1896,0.13
1897,0.35
1898,0.46
1899,0.31
1900,0.28
1901,0.33999999999999997
1902,-0.28
1903,0.25
1904,0.15000000000000002
1905,0.13
1906,0.29000000000000004
1907,-0.16
1908,0.09
1909,-0.03
1910,0.42000000000000004
1911,0.48000000000000004
1912,0.02
1913,0.46
1914,0.38
1915,-0.09
1916,0.5
1917,-0.24000000000000002
1918,0.36
1919,-0.14
1920,0.6
1921,0.56
1922,0.1
1923,0.32
1924,0.32999999999999996
1925,0.39
1926,0.63
1927,0.51
1928,0.49
1929,0.11
1930,0.98
1931,0.18
1932,0.52
1933,0.21000000000000002
1934,1.1500000000000001
1935,0.65
1936,0.76
1937,1.05
1938,0.9500000000000001
1939,0.76
1940,-0.14
1941,-0.14
1942,-0.06
1943,0.89
1944,0.59
1945,0.7899999999999999
1946,0.77
1947,0.7799999999999999
1948,0.72
1949,0.8500000000000001
1950,0.81
1951,0.64
1952,0.56
1953,0.7899999999999999
1954,0.38
1955,0.56
1956,-0.24000000000000002
1957,0.75
1958,0.6
1959,0.8400000000000001
1960,0.89
1961,1.1
1962,0.4
1963,0.21000000000000002
1964,0.47000000000000003
1965,0.06
1966,0.58
1967,0.46
1968,0.32
1969,0.1
1970,0.33999999999999997
1971,0.4
1972,0.45
1973,0.35
1974,0.75
1975,0.75
1976,0.15000000000000002
1977,0.46
1978,0.12000000000000001
1979,0.3
1980,0.1
1981,0.38
1982,0.63
1983,0.69
1984,0.58
1985,0.06
1986,0.4
1987,0.25
1988,0.74
1989,1.3
1990,1.3900000000000001
1991,0.74
1992,0.7899999999999999
1993,0.5
1994,1.28
1995,0.9500000000000001
1996,0.51
1997,1.04
1998,1.09
1999,1.44
2000,1.53
2001,1.29
2002,1.53
2003,1.47
2004,1.3
2005,1.1800000000000002
2006,1.57
2007,1.6400000000000001
2008,1.56
2009,1.49
2010,1.07
2011,1.56
2012,1.3800000000000001
2013,1.4
2014,2.2
2015,1.8800000000000001
2016,1.86
2017,1.73
2018,2.1
